analysis	experiment	outer_fold	test_units	test_receptors	train_units_approx	train_receptors_approx	test_receptor_names	test_Gs	train_Gs_approx	test_Gi/o	train_Gi/o_approx	test_Gq/11	train_Gq/11_approx
sequence_interface_audit	full_sequence	0	413	163	32	6	5ht1a_human;5ht1d_human;5ht1e_human;5ht1f_human;5ht2a_human;5ht2b_human;5ht2c_human;5ht4r_human;5ht5a_human;5ht6r_human;5ht7r_human;aa1r_human;aa2ar_human;aa2br_human;aa3r_human;acm1_human;acm3_human;acm4_human;acthr_human;ada1a_human;ada2a_human;ada2b_human;adrb1_melga;adrb2_human;adrb3_canlf;adrb3_human;agtr1_human;apj_human;b1b1u5_9arac;bkrb1_human;bkrb2_human;brs3_human;c3ar_human;c5ar1_human;cckar_human;ccr1_human;ccr2_human;ccr3_human;ccr5_human;ccr8_human;cml1_human;cml2_human;cnr1_human;cnr2_human;cx3c1_human;cxcr1_human;cxcr2_human;cxcr3_human;cxcr4_human;drd1_human;drd2_human;drd3_human;drd4_human;drd5_human;e7fel0_danre;ednra_human;ednrb_human;ffar1_human;ffar2_human;ffar3_human;ffar4_human;fpr1_human;fpr2_human;fshr_human;galr1_human;galr2_human;gasr_human;ghsr_human;gp101_human;gp119_human;gp132_human;gp139_human;gp161_human;gp174_human;gp183_human;gpbar_human;gper1_human;gpr12_human;gpr15_human;gpr17_human;gpr20_human;gpr21_human;gpr34_human;gpr3_human;gpr52_human;gpr61_human;gpr6_human;gpr84_human;gpr88_human;grpr_human;hcar2_human;hcar3_human;hrh1_human;hrh2_human;hrh3_human;hrh4_human;kissr_human;lpar1_human;lshr_human;lt4r1_human;mc3r_human;mc4r_human;mc5r_human;mchr1_human;mchr2_human;mrgrd_human;mrgx1_human;mrgx2_human;mrgx4_human;mshr_human;mtlr_human;mtr1a_human;mtr1b_human;nk1r_human;nk2r_human;nk3r_human;nmbr_human;nmur1_human;nmur2_human;npy1r_human;npy2r_human;npy4r_human;ntr1_human;ntr1_rat;oprd_human;oprk_human;oprm_human;oprm_mouse;oprx_human;opsd_bovin;opsd_human;opsr_human;ox2r_human;oxyr_human;p2ry1_human;p2y12_human;par1_human;pd2r2_human;pe2r2_human;pi2r_human;prlhr_human;ptafr_human;qrfpr_human;rl3r2_human;rxfp1_human;s1pr1_human;s1pr3_human;s1pr5_human;ssr1_human;ssr2_human;ssr3_human;ssr4_human;ssr5_human;sucr1_human;taa7f_mouse;taar1_human;taar1_mouse;taar9_mouse;trfr_human;tshr_human;us28_hcmva;v2r_human;xcr1_human	97	8	210	16	106	8
sequence_interface_audit	full_sequence	1	116	76	440	93	5ht1d_human;5ht2a_human;5ht5a_human;5ht7r_human;aa3r_human;acm3_human;adrb3_human;apj_human;brs3_human;ccr1_human;ccr2_human;ccr3_human;ccr5_human;ccr8_human;cnr2_human;cx3c1_human;cxcr1_human;cxcr2_human;cxcr3_human;cxcr4_human;drd5_human;e7fel0_danre;ednra_human;ednrb_human;ffar2_human;ffar3_human;ffar4_human;gasr_human;gp101_human;gp132_human;gp139_human;gp174_human;gp183_human;gpbar_human;gpr17_human;gpr20_human;gpr21_human;gpr34_human;gpr3_human;gpr52_human;grpr_human;hcar2_human;hcar3_human;hrh1_human;lpar1_human;lshr_human;mc4r_human;mc5r_human;mchr2_human;mrgx2_human;mtr1a_human;mtr1b_human;nmbr_human;npy1r_human;npy4r_human;ox2r_human;p2ry1_human;p2y12_human;par1_human;pd2r2_human;pe2r2_human;pe2r3_human;pe2r4_human;pf2r_human;pi2r_human;prlhr_human;ptafr_human;q3ksp2_ebvg;q76sf8_hhv8;s1pr3_human;ssr2_human;sucr1_human;ta2r_human;taar1_mouse;taar9_mouse;us28_hcmva	32	104	57	216	27	120
sequence_interface_audit	full_sequence	2	98	68	488	101	5ht1a_human;5ht2b_human;5ht6r_human;acm1_human;acthr_human;ada2b_human;b1b1u5_9arac;bkrb1_human;brs3_human;c5ar1_human;cckar_human;ccr1_human;ccr2_human;ccr3_human;cxcr4_human;drd2_human;ednra_human;ednrb_human;ffar1_human;ffar2_human;ffar3_human;gasr_human;gp101_human;gp119_human;gp139_human;gp161_human;gp183_human;gpbar_human;gpr12_human;gpr20_human;gpr34_human;gpr3_human;gpr52_human;gpr6_human;gpr84_human;gpr88_human;grpr_human;mc3r_human;mc4r_human;mc5r_human;mchr1_human;mchr2_human;mrgrd_human;mrgx1_human;mrgx2_human;mrgx4_human;mshr_human;mtr1a_human;mtr1b_human;nk1r_human;nk2r_human;nk3r_human;nmbr_human;ntr1_human;opsd_bovin;opsd_human;opsr_human;p2y12_human;pe2r3_human;prlhr_human;q3ksp2_ebvg;qrfpr_human;rl3r2_human;ssr1_human;sucr1_human;ta2r_human;us28_hcmva;xcr1_human	25	128	46	248	27	112
sequence_interface_audit	full_sequence	3	104	76	460	93	5ht1a_human;5ht1d_human;5ht1e_human;5ht1f_human;5ht2a_human;5ht2b_human;5ht2c_human;5ht4r_human;5ht5a_human;5ht6r_human;5ht7r_human;aa1r_human;aa2ar_human;aa2br_human;aa3r_human;acm1_human;acm3_human;acm4_human;ada1a_human;ada2a_human;ada2b_human;adrb1_melga;adrb2_human;adrb3_canlf;adrb3_human;cckar_human;cml1_human;cxcr1_human;cxcr3_human;drd1_human;drd2_human;drd3_human;drd4_human;drd5_human;ffar1_human;ffar2_human;ffar3_human;fshr_human;galr2_human;ghsr_human;gper1_human;gpr61_human;gpr88_human;grpr_human;hcar2_human;hrh1_human;hrh2_human;hrh3_human;lpar1_human;lshr_human;mrgx4_human;nmur1_human;nmur2_human;npy2r_human;npy4r_human;oprd_human;oprm_mouse;ox2r_human;p2ry1_human;pe2r4_human;pf2r_human;ptafr_human;q76sf8_hhv8;qrfpr_human;rxfp1_human;s1pr1_human;s1pr3_human;s1pr5_human;ssr3_human;ssr4_human;taa7f_mouse;taar1_human;taar1_mouse;taar9_mouse;tshr_human;v2r_human	32	100	48	244	24	116
sequence_interface_audit	full_sequence	4	97	67	484	102	5ht1e_human;5ht1f_human;5ht2c_human;adrb1_melga;adrb2_human;b1b1u5_9arac;bkrb2_human;brs3_human;c3ar_human;cnr1_human;cnr2_human;cxcr2_human;drd3_human;drd4_human;e7fel0_danre;ednrb_human;ffar1_human;fpr1_human;fshr_human;ghsr_human;gp132_human;gp161_human;gp174_human;gpr17_human;gpr20_human;gpr34_human;gpr84_human;gpr88_human;hcar2_human;hcar3_human;hrh3_human;hrh4_human;kissr_human;lpar1_human;lshr_human;mc3r_human;mchr2_human;mrgrd_human;mrgx1_human;mrgx2_human;mrgx4_human;mshr_human;mtlr_human;nk3r_human;nmur1_human;nmur2_human;ntr1_human;ntr1_rat;oprk_human;oprm_human;oxyr_human;par1_human;pe2r2_human;pe2r3_human;pe2r4_human;pf2r_human;pi2r_human;rl3r2_human;rxfp1_human;s1pr1_human;s1pr3_human;s1pr5_human;ta2r_human;taar1_human;trfr_human;tshr_human;xcr1_human	22	136	47	240	28	108
sequence_interface_audit	full_sequence_single_transducer	0	27	27	108	108	5ht1f_human;5ht2a_human;aa2br_human;acm1_human;acthr_human;ada2a_human;adrb2_human;bkrb1_human;c5ar1_human;cxcr2_human;cxcr3_human;cxcr4_human;gp101_human;gp183_human;gpbar_human;gpr21_human;gpr3_human;hrh3_human;lt4r1_human;mtlr_human;mtr1a_human;mtr1b_human;npy4r_human;pd2r2_human;s1pr3_human;trfr_human;v2r_human	8	28	14	60	5	20
sequence_interface_audit	full_sequence_single_transducer	1	27	27	108	108	5ht1a_human;5ht2b_human;5ht7r_human;ada2b_human;brs3_human;ccr3_human;ccr5_human;cxcr1_human;fpr1_human;galr2_human;gp132_human;gpr12_human;hcar2_human;mc3r_human;mshr_human;nk2r_human;nmbr_human;npy1r_human;oprm_human;oprm_mouse;pi2r_human;ptafr_human;q3ksp2_ebvg;ssr3_human;taa7f_mouse;tshr_human;xcr1_human	7	29	15	59	5	20
sequence_interface_audit	full_sequence_single_transducer	2	27	27	108	108	5ht5a_human;5ht6r_human;acm4_human;ada1a_human;agtr1_human;apj_human;b1b1u5_9arac;bkrb2_human;ccr2_human;ccr8_human;cnr2_human;drd2_human;ffar3_human;gpr15_human;gpr17_human;gpr52_human;gpr61_human;lshr_human;mc5r_human;nk3r_human;nmur1_human;oprk_human;opsd_bovin;opsd_human;pe2r2_human;ssr5_human;taar1_human	7	29	15	59	5	20
sequence_interface_audit	full_sequence_single_transducer	3	27	27	108	108	5ht1e_human;aa3r_human;acm3_human;adrb3_human;cml1_human;cml2_human;drd1_human;drd5_human;e7fel0_danre;fshr_human;gp174_human;gper1_human;gpr20_human;gpr34_human;gpr84_human;gpr88_human;hcar3_human;mc4r_human;mchr1_human;oprx_human;oxyr_human;pe2r3_human;q76sf8_hhv8;qrfpr_human;s1pr1_human;s1pr5_human;ta2r_human	7	29	15	59	5	20
sequence_interface_audit	full_sequence_single_transducer	4	27	27	108	108	5ht1d_human;5ht2c_human;aa1r_human;aa2ar_human;adrb3_canlf;ccr1_human;cx3c1_human;drd3_human;drd4_human;fpr2_human;galr1_human;gp119_human;gp161_human;gpr6_human;grpr_human;hrh1_human;mchr2_human;mrgx4_human;npy2r_human;oprd_human;opsr_human;p2y12_human;rl3r2_human;rxfp1_human;ssr1_human;ssr4_human;taar9_mouse	7	29	15	59	5	20
sequence_interface_audit	global_identity_knn	0	413	163	32	6	5ht1a_human;5ht1d_human;5ht1e_human;5ht1f_human;5ht2a_human;5ht2b_human;5ht2c_human;5ht4r_human;5ht5a_human;5ht6r_human;5ht7r_human;aa1r_human;aa2ar_human;aa2br_human;aa3r_human;acm1_human;acm3_human;acm4_human;acthr_human;ada1a_human;ada2a_human;ada2b_human;adrb1_melga;adrb2_human;adrb3_canlf;adrb3_human;agtr1_human;apj_human;b1b1u5_9arac;bkrb1_human;bkrb2_human;brs3_human;c3ar_human;c5ar1_human;cckar_human;ccr1_human;ccr2_human;ccr3_human;ccr5_human;ccr8_human;cml1_human;cml2_human;cnr1_human;cnr2_human;cx3c1_human;cxcr1_human;cxcr2_human;cxcr3_human;cxcr4_human;drd1_human;drd2_human;drd3_human;drd4_human;drd5_human;e7fel0_danre;ednra_human;ednrb_human;ffar1_human;ffar2_human;ffar3_human;ffar4_human;fpr1_human;fpr2_human;fshr_human;galr1_human;galr2_human;gasr_human;ghsr_human;gp101_human;gp119_human;gp132_human;gp139_human;gp161_human;gp174_human;gp183_human;gpbar_human;gper1_human;gpr12_human;gpr15_human;gpr17_human;gpr20_human;gpr21_human;gpr34_human;gpr3_human;gpr52_human;gpr61_human;gpr6_human;gpr84_human;gpr88_human;grpr_human;hcar2_human;hcar3_human;hrh1_human;hrh2_human;hrh3_human;hrh4_human;kissr_human;lpar1_human;lshr_human;lt4r1_human;mc3r_human;mc4r_human;mc5r_human;mchr1_human;mchr2_human;mrgrd_human;mrgx1_human;mrgx2_human;mrgx4_human;mshr_human;mtlr_human;mtr1a_human;mtr1b_human;nk1r_human;nk2r_human;nk3r_human;nmbr_human;nmur1_human;nmur2_human;npy1r_human;npy2r_human;npy4r_human;ntr1_human;ntr1_rat;oprd_human;oprk_human;oprm_human;oprm_mouse;oprx_human;opsd_bovin;opsd_human;opsr_human;ox2r_human;oxyr_human;p2ry1_human;p2y12_human;par1_human;pd2r2_human;pe2r2_human;pi2r_human;prlhr_human;ptafr_human;qrfpr_human;rl3r2_human;rxfp1_human;s1pr1_human;s1pr3_human;s1pr5_human;ssr1_human;ssr2_human;ssr3_human;ssr4_human;ssr5_human;sucr1_human;taa7f_mouse;taar1_human;taar1_mouse;taar9_mouse;trfr_human;tshr_human;us28_hcmva;v2r_human;xcr1_human	97	8	210	16	106	8
sequence_interface_audit	global_identity_knn	1	116	76	440	93	5ht1d_human;5ht2a_human;5ht5a_human;5ht7r_human;aa3r_human;acm3_human;adrb3_human;apj_human;brs3_human;ccr1_human;ccr2_human;ccr3_human;ccr5_human;ccr8_human;cnr2_human;cx3c1_human;cxcr1_human;cxcr2_human;cxcr3_human;cxcr4_human;drd5_human;e7fel0_danre;ednra_human;ednrb_human;ffar2_human;ffar3_human;ffar4_human;gasr_human;gp101_human;gp132_human;gp139_human;gp174_human;gp183_human;gpbar_human;gpr17_human;gpr20_human;gpr21_human;gpr34_human;gpr3_human;gpr52_human;grpr_human;hcar2_human;hcar3_human;hrh1_human;lpar1_human;lshr_human;mc4r_human;mc5r_human;mchr2_human;mrgx2_human;mtr1a_human;mtr1b_human;nmbr_human;npy1r_human;npy4r_human;ox2r_human;p2ry1_human;p2y12_human;par1_human;pd2r2_human;pe2r2_human;pe2r3_human;pe2r4_human;pf2r_human;pi2r_human;prlhr_human;ptafr_human;q3ksp2_ebvg;q76sf8_hhv8;s1pr3_human;ssr2_human;sucr1_human;ta2r_human;taar1_mouse;taar9_mouse;us28_hcmva	32	104	57	216	27	120
sequence_interface_audit	global_identity_knn	2	98	68	488	101	5ht1a_human;5ht2b_human;5ht6r_human;acm1_human;acthr_human;ada2b_human;b1b1u5_9arac;bkrb1_human;brs3_human;c5ar1_human;cckar_human;ccr1_human;ccr2_human;ccr3_human;cxcr4_human;drd2_human;ednra_human;ednrb_human;ffar1_human;ffar2_human;ffar3_human;gasr_human;gp101_human;gp119_human;gp139_human;gp161_human;gp183_human;gpbar_human;gpr12_human;gpr20_human;gpr34_human;gpr3_human;gpr52_human;gpr6_human;gpr84_human;gpr88_human;grpr_human;mc3r_human;mc4r_human;mc5r_human;mchr1_human;mchr2_human;mrgrd_human;mrgx1_human;mrgx2_human;mrgx4_human;mshr_human;mtr1a_human;mtr1b_human;nk1r_human;nk2r_human;nk3r_human;nmbr_human;ntr1_human;opsd_bovin;opsd_human;opsr_human;p2y12_human;pe2r3_human;prlhr_human;q3ksp2_ebvg;qrfpr_human;rl3r2_human;ssr1_human;sucr1_human;ta2r_human;us28_hcmva;xcr1_human	25	128	46	248	27	112
sequence_interface_audit	global_identity_knn	3	104	76	460	93	5ht1a_human;5ht1d_human;5ht1e_human;5ht1f_human;5ht2a_human;5ht2b_human;5ht2c_human;5ht4r_human;5ht5a_human;5ht6r_human;5ht7r_human;aa1r_human;aa2ar_human;aa2br_human;aa3r_human;acm1_human;acm3_human;acm4_human;ada1a_human;ada2a_human;ada2b_human;adrb1_melga;adrb2_human;adrb3_canlf;adrb3_human;cckar_human;cml1_human;cxcr1_human;cxcr3_human;drd1_human;drd2_human;drd3_human;drd4_human;drd5_human;ffar1_human;ffar2_human;ffar3_human;fshr_human;galr2_human;ghsr_human;gper1_human;gpr61_human;gpr88_human;grpr_human;hcar2_human;hrh1_human;hrh2_human;hrh3_human;lpar1_human;lshr_human;mrgx4_human;nmur1_human;nmur2_human;npy2r_human;npy4r_human;oprd_human;oprm_mouse;ox2r_human;p2ry1_human;pe2r4_human;pf2r_human;ptafr_human;q76sf8_hhv8;qrfpr_human;rxfp1_human;s1pr1_human;s1pr3_human;s1pr5_human;ssr3_human;ssr4_human;taa7f_mouse;taar1_human;taar1_mouse;taar9_mouse;tshr_human;v2r_human	32	100	48	244	24	116
sequence_interface_audit	global_identity_knn	4	97	67	484	102	5ht1e_human;5ht1f_human;5ht2c_human;adrb1_melga;adrb2_human;b1b1u5_9arac;bkrb2_human;brs3_human;c3ar_human;cnr1_human;cnr2_human;cxcr2_human;drd3_human;drd4_human;e7fel0_danre;ednrb_human;ffar1_human;fpr1_human;fshr_human;ghsr_human;gp132_human;gp161_human;gp174_human;gpr17_human;gpr20_human;gpr34_human;gpr84_human;gpr88_human;hcar2_human;hcar3_human;hrh3_human;hrh4_human;kissr_human;lpar1_human;lshr_human;mc3r_human;mchr2_human;mrgrd_human;mrgx1_human;mrgx2_human;mrgx4_human;mshr_human;mtlr_human;nk3r_human;nmur1_human;nmur2_human;ntr1_human;ntr1_rat;oprk_human;oprm_human;oxyr_human;par1_human;pe2r2_human;pe2r3_human;pe2r4_human;pf2r_human;pi2r_human;rl3r2_human;rxfp1_human;s1pr1_human;s1pr3_human;s1pr5_human;ta2r_human;taar1_human;trfr_human;tshr_human;xcr1_human	22	136	47	240	28	108
sequence_interface_audit	interface_plus_taxonomy	0	413	163	32	6	5ht1a_human;5ht1d_human;5ht1e_human;5ht1f_human;5ht2a_human;5ht2b_human;5ht2c_human;5ht4r_human;5ht5a_human;5ht6r_human;5ht7r_human;aa1r_human;aa2ar_human;aa2br_human;aa3r_human;acm1_human;acm3_human;acm4_human;acthr_human;ada1a_human;ada2a_human;ada2b_human;adrb1_melga;adrb2_human;adrb3_canlf;adrb3_human;agtr1_human;apj_human;b1b1u5_9arac;bkrb1_human;bkrb2_human;brs3_human;c3ar_human;c5ar1_human;cckar_human;ccr1_human;ccr2_human;ccr3_human;ccr5_human;ccr8_human;cml1_human;cml2_human;cnr1_human;cnr2_human;cx3c1_human;cxcr1_human;cxcr2_human;cxcr3_human;cxcr4_human;drd1_human;drd2_human;drd3_human;drd4_human;drd5_human;e7fel0_danre;ednra_human;ednrb_human;ffar1_human;ffar2_human;ffar3_human;ffar4_human;fpr1_human;fpr2_human;fshr_human;galr1_human;galr2_human;gasr_human;ghsr_human;gp101_human;gp119_human;gp132_human;gp139_human;gp161_human;gp174_human;gp183_human;gpbar_human;gper1_human;gpr12_human;gpr15_human;gpr17_human;gpr20_human;gpr21_human;gpr34_human;gpr3_human;gpr52_human;gpr61_human;gpr6_human;gpr84_human;gpr88_human;grpr_human;hcar2_human;hcar3_human;hrh1_human;hrh2_human;hrh3_human;hrh4_human;kissr_human;lpar1_human;lshr_human;lt4r1_human;mc3r_human;mc4r_human;mc5r_human;mchr1_human;mchr2_human;mrgrd_human;mrgx1_human;mrgx2_human;mrgx4_human;mshr_human;mtlr_human;mtr1a_human;mtr1b_human;nk1r_human;nk2r_human;nk3r_human;nmbr_human;nmur1_human;nmur2_human;npy1r_human;npy2r_human;npy4r_human;ntr1_human;ntr1_rat;oprd_human;oprk_human;oprm_human;oprm_mouse;oprx_human;opsd_bovin;opsd_human;opsr_human;ox2r_human;oxyr_human;p2ry1_human;p2y12_human;par1_human;pd2r2_human;pe2r2_human;pi2r_human;prlhr_human;ptafr_human;qrfpr_human;rl3r2_human;rxfp1_human;s1pr1_human;s1pr3_human;s1pr5_human;ssr1_human;ssr2_human;ssr3_human;ssr4_human;ssr5_human;sucr1_human;taa7f_mouse;taar1_human;taar1_mouse;taar9_mouse;trfr_human;tshr_human;us28_hcmva;v2r_human;xcr1_human	97	8	210	16	106	8
sequence_interface_audit	interface_plus_taxonomy	1	116	76	440	93	5ht1d_human;5ht2a_human;5ht5a_human;5ht7r_human;aa3r_human;acm3_human;adrb3_human;apj_human;brs3_human;ccr1_human;ccr2_human;ccr3_human;ccr5_human;ccr8_human;cnr2_human;cx3c1_human;cxcr1_human;cxcr2_human;cxcr3_human;cxcr4_human;drd5_human;e7fel0_danre;ednra_human;ednrb_human;ffar2_human;ffar3_human;ffar4_human;gasr_human;gp101_human;gp132_human;gp139_human;gp174_human;gp183_human;gpbar_human;gpr17_human;gpr20_human;gpr21_human;gpr34_human;gpr3_human;gpr52_human;grpr_human;hcar2_human;hcar3_human;hrh1_human;lpar1_human;lshr_human;mc4r_human;mc5r_human;mchr2_human;mrgx2_human;mtr1a_human;mtr1b_human;nmbr_human;npy1r_human;npy4r_human;ox2r_human;p2ry1_human;p2y12_human;par1_human;pd2r2_human;pe2r2_human;pe2r3_human;pe2r4_human;pf2r_human;pi2r_human;prlhr_human;ptafr_human;q3ksp2_ebvg;q76sf8_hhv8;s1pr3_human;ssr2_human;sucr1_human;ta2r_human;taar1_mouse;taar9_mouse;us28_hcmva	32	104	57	216	27	120
sequence_interface_audit	interface_plus_taxonomy	2	98	68	488	101	5ht1a_human;5ht2b_human;5ht6r_human;acm1_human;acthr_human;ada2b_human;b1b1u5_9arac;bkrb1_human;brs3_human;c5ar1_human;cckar_human;ccr1_human;ccr2_human;ccr3_human;cxcr4_human;drd2_human;ednra_human;ednrb_human;ffar1_human;ffar2_human;ffar3_human;gasr_human;gp101_human;gp119_human;gp139_human;gp161_human;gp183_human;gpbar_human;gpr12_human;gpr20_human;gpr34_human;gpr3_human;gpr52_human;gpr6_human;gpr84_human;gpr88_human;grpr_human;mc3r_human;mc4r_human;mc5r_human;mchr1_human;mchr2_human;mrgrd_human;mrgx1_human;mrgx2_human;mrgx4_human;mshr_human;mtr1a_human;mtr1b_human;nk1r_human;nk2r_human;nk3r_human;nmbr_human;ntr1_human;opsd_bovin;opsd_human;opsr_human;p2y12_human;pe2r3_human;prlhr_human;q3ksp2_ebvg;qrfpr_human;rl3r2_human;ssr1_human;sucr1_human;ta2r_human;us28_hcmva;xcr1_human	25	128	46	248	27	112
sequence_interface_audit	interface_plus_taxonomy	3	104	76	460	93	5ht1a_human;5ht1d_human;5ht1e_human;5ht1f_human;5ht2a_human;5ht2b_human;5ht2c_human;5ht4r_human;5ht5a_human;5ht6r_human;5ht7r_human;aa1r_human;aa2ar_human;aa2br_human;aa3r_human;acm1_human;acm3_human;acm4_human;ada1a_human;ada2a_human;ada2b_human;adrb1_melga;adrb2_human;adrb3_canlf;adrb3_human;cckar_human;cml1_human;cxcr1_human;cxcr3_human;drd1_human;drd2_human;drd3_human;drd4_human;drd5_human;ffar1_human;ffar2_human;ffar3_human;fshr_human;galr2_human;ghsr_human;gper1_human;gpr61_human;gpr88_human;grpr_human;hcar2_human;hrh1_human;hrh2_human;hrh3_human;lpar1_human;lshr_human;mrgx4_human;nmur1_human;nmur2_human;npy2r_human;npy4r_human;oprd_human;oprm_mouse;ox2r_human;p2ry1_human;pe2r4_human;pf2r_human;ptafr_human;q76sf8_hhv8;qrfpr_human;rxfp1_human;s1pr1_human;s1pr3_human;s1pr5_human;ssr3_human;ssr4_human;taa7f_mouse;taar1_human;taar1_mouse;taar9_mouse;tshr_human;v2r_human	32	100	48	244	24	116
sequence_interface_audit	interface_plus_taxonomy	4	97	67	484	102	5ht1e_human;5ht1f_human;5ht2c_human;adrb1_melga;adrb2_human;b1b1u5_9arac;bkrb2_human;brs3_human;c3ar_human;cnr1_human;cnr2_human;cxcr2_human;drd3_human;drd4_human;e7fel0_danre;ednrb_human;ffar1_human;fpr1_human;fshr_human;ghsr_human;gp132_human;gp161_human;gp174_human;gpr17_human;gpr20_human;gpr34_human;gpr84_human;gpr88_human;hcar2_human;hcar3_human;hrh3_human;hrh4_human;kissr_human;lpar1_human;lshr_human;mc3r_human;mchr2_human;mrgrd_human;mrgx1_human;mrgx2_human;mrgx4_human;mshr_human;mtlr_human;nk3r_human;nmur1_human;nmur2_human;ntr1_human;ntr1_rat;oprk_human;oprm_human;oxyr_human;par1_human;pe2r2_human;pe2r3_human;pe2r4_human;pf2r_human;pi2r_human;rl3r2_human;rxfp1_human;s1pr1_human;s1pr3_human;s1pr5_human;ta2r_human;taar1_human;trfr_human;tshr_human;xcr1_human	22	136	47	240	28	108
sequence_interface_audit	interface_sequence	0	413	163	32	6	5ht1a_human;5ht1d_human;5ht1e_human;5ht1f_human;5ht2a_human;5ht2b_human;5ht2c_human;5ht4r_human;5ht5a_human;5ht6r_human;5ht7r_human;aa1r_human;aa2ar_human;aa2br_human;aa3r_human;acm1_human;acm3_human;acm4_human;acthr_human;ada1a_human;ada2a_human;ada2b_human;adrb1_melga;adrb2_human;adrb3_canlf;adrb3_human;agtr1_human;apj_human;b1b1u5_9arac;bkrb1_human;bkrb2_human;brs3_human;c3ar_human;c5ar1_human;cckar_human;ccr1_human;ccr2_human;ccr3_human;ccr5_human;ccr8_human;cml1_human;cml2_human;cnr1_human;cnr2_human;cx3c1_human;cxcr1_human;cxcr2_human;cxcr3_human;cxcr4_human;drd1_human;drd2_human;drd3_human;drd4_human;drd5_human;e7fel0_danre;ednra_human;ednrb_human;ffar1_human;ffar2_human;ffar3_human;ffar4_human;fpr1_human;fpr2_human;fshr_human;galr1_human;galr2_human;gasr_human;ghsr_human;gp101_human;gp119_human;gp132_human;gp139_human;gp161_human;gp174_human;gp183_human;gpbar_human;gper1_human;gpr12_human;gpr15_human;gpr17_human;gpr20_human;gpr21_human;gpr34_human;gpr3_human;gpr52_human;gpr61_human;gpr6_human;gpr84_human;gpr88_human;grpr_human;hcar2_human;hcar3_human;hrh1_human;hrh2_human;hrh3_human;hrh4_human;kissr_human;lpar1_human;lshr_human;lt4r1_human;mc3r_human;mc4r_human;mc5r_human;mchr1_human;mchr2_human;mrgrd_human;mrgx1_human;mrgx2_human;mrgx4_human;mshr_human;mtlr_human;mtr1a_human;mtr1b_human;nk1r_human;nk2r_human;nk3r_human;nmbr_human;nmur1_human;nmur2_human;npy1r_human;npy2r_human;npy4r_human;ntr1_human;ntr1_rat;oprd_human;oprk_human;oprm_human;oprm_mouse;oprx_human;opsd_bovin;opsd_human;opsr_human;ox2r_human;oxyr_human;p2ry1_human;p2y12_human;par1_human;pd2r2_human;pe2r2_human;pi2r_human;prlhr_human;ptafr_human;qrfpr_human;rl3r2_human;rxfp1_human;s1pr1_human;s1pr3_human;s1pr5_human;ssr1_human;ssr2_human;ssr3_human;ssr4_human;ssr5_human;sucr1_human;taa7f_mouse;taar1_human;taar1_mouse;taar9_mouse;trfr_human;tshr_human;us28_hcmva;v2r_human;xcr1_human	97	8	210	16	106	8
sequence_interface_audit	interface_sequence	1	116	76	440	93	5ht1d_human;5ht2a_human;5ht5a_human;5ht7r_human;aa3r_human;acm3_human;adrb3_human;apj_human;brs3_human;ccr1_human;ccr2_human;ccr3_human;ccr5_human;ccr8_human;cnr2_human;cx3c1_human;cxcr1_human;cxcr2_human;cxcr3_human;cxcr4_human;drd5_human;e7fel0_danre;ednra_human;ednrb_human;ffar2_human;ffar3_human;ffar4_human;gasr_human;gp101_human;gp132_human;gp139_human;gp174_human;gp183_human;gpbar_human;gpr17_human;gpr20_human;gpr21_human;gpr34_human;gpr3_human;gpr52_human;grpr_human;hcar2_human;hcar3_human;hrh1_human;lpar1_human;lshr_human;mc4r_human;mc5r_human;mchr2_human;mrgx2_human;mtr1a_human;mtr1b_human;nmbr_human;npy1r_human;npy4r_human;ox2r_human;p2ry1_human;p2y12_human;par1_human;pd2r2_human;pe2r2_human;pe2r3_human;pe2r4_human;pf2r_human;pi2r_human;prlhr_human;ptafr_human;q3ksp2_ebvg;q76sf8_hhv8;s1pr3_human;ssr2_human;sucr1_human;ta2r_human;taar1_mouse;taar9_mouse;us28_hcmva	32	104	57	216	27	120
sequence_interface_audit	interface_sequence	2	98	68	488	101	5ht1a_human;5ht2b_human;5ht6r_human;acm1_human;acthr_human;ada2b_human;b1b1u5_9arac;bkrb1_human;brs3_human;c5ar1_human;cckar_human;ccr1_human;ccr2_human;ccr3_human;cxcr4_human;drd2_human;ednra_human;ednrb_human;ffar1_human;ffar2_human;ffar3_human;gasr_human;gp101_human;gp119_human;gp139_human;gp161_human;gp183_human;gpbar_human;gpr12_human;gpr20_human;gpr34_human;gpr3_human;gpr52_human;gpr6_human;gpr84_human;gpr88_human;grpr_human;mc3r_human;mc4r_human;mc5r_human;mchr1_human;mchr2_human;mrgrd_human;mrgx1_human;mrgx2_human;mrgx4_human;mshr_human;mtr1a_human;mtr1b_human;nk1r_human;nk2r_human;nk3r_human;nmbr_human;ntr1_human;opsd_bovin;opsd_human;opsr_human;p2y12_human;pe2r3_human;prlhr_human;q3ksp2_ebvg;qrfpr_human;rl3r2_human;ssr1_human;sucr1_human;ta2r_human;us28_hcmva;xcr1_human	25	128	46	248	27	112
